filename,chroma_freq,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
028._Drake_-_What’s_Next.mp3,0.527348876,0.188694812,2712.63033,2777.766849,5891.464375,0.098040223,-69.54679108,64.64437103,9.261567116,15.98936176,2.450887203,2.715717554,-13.32894993,2.869265079,-9.278787613,-0.644844949,-3.949106216,2.054378271,-5.281630039,1.875227928,-8.39609623,1.077575445,-2.583318233,7.548385143,0.075408652,3.741410971,Hip-Hop_-_Rap
057._DaBaby_-_VIBEZ.mp3,0.44874981,0.26031604,2512.811159,2754.407924,5711.573796,0.076049427,-37.52122498,83.19451904,22.36421204,14.44248867,6.511630535,7.946300507,-10.3586731,6.332605839,-9.300453186,3.964675903,-2.520029068,3.783104897,-2.782716274,-2.693559647,-0.537471831,2.633302689,-5.840147018,3.433509588,-2.939610958,1.10018599,Hip-Hop_-_Rap
79._Eminem_-_Killshot.mp3,0.368340611,0.063861473,2254.319269,2167.095491,4265.349208,0.11374421,-163.8540955,105.4007339,-1.61078465,5.546210289,4.548132896,-5.077169895,-11.95976257,-0.186303958,-16.48368835,-6.970251083,-4.216557503,-8.107915878,-0.517017066,-5.313605309,-7.200467587,2.592512131,-12.02254009,-1.121185064,-6.958451271,-6.006724834,Hip-Hop_-_Rap
01._24kgoldn_-_Mood_(feat._iann_dior).mp3,0.354724556,0.140334629,2086.689952,2085.636504,4343.073738,0.086520641,-90.13434601,101.5931931,-19.25237274,15.32120132,-4.739845276,0.621841669,-6.70644474,-2.213448048,-7.899326324,-1.101294875,-13.13389778,-2.248736858,-1.900636792,-4.026841164,-0.55812341,1.24418962,-8.106964111,2.230422974,-7.511723518,-2.003064394,Hip-Hop_-_Rap
88._King_Von_-_Took_Her_To_The_O.mp3,0.506568372,0.166686154,2034.839714,2382.745437,4533.43092,0.051514806,-131.39328,97.02668762,20.03230286,17.56637573,17.94522667,12.99149513,12.67678547,18.55900574,-0.172578514,10.40810299,0.522162318,5.455823898,5.012218475,4.077011108,0.067016982,5.630995274,0.949600995,9.324296951,1.831561089,6.664956093,Hip-Hop_-_Rap
080._J._Cole_-_1_0_0_._m_i_l_‘.mp3,0.274003625,0.051634351,2498.24788,2513.284518,5133.052294,0.118619464,-165.0899963,76.11245728,-18.516222,11.54888439,-10.85968685,-11.33762455,-10.32089424,-9.261245728,-6.819488525,-0.726396263,-4.403504372,7.316154003,-4.888062477,-5.139780045,-9.822852135,-0.725275874,-13.41259003,-3.641740322,-8.628890038,-1.507939458,Hip-Hop_-_Rap
036._Moneybagg_Yo_-_Wockesha.mp3,0.372549772,0.041205351,2222.091779,2185.568026,4338.590432,0.101732189,-231.110199,85.65604401,15.02110004,13.11766243,-2.244579315,-8.530818939,-15.60326004,-14.05205727,-14.78953743,-14.69932175,-8.527497292,-4.472894192,-8.463861465,-2.213133574,-7.851961613,-4.115300655,-4.009166718,-7.74861002,-5.170114517,-1.50738585,Hip-Hop_-_Rap
092._A_Boogie_Wit_da_Hoodie_-_24_Hours_(feat._Lil_Durk).mp3,0.38958174,0.120230748,1799.763665,2121.935278,3954.484421,0.056528381,-146.3425751,117.1164474,24.10938835,35.82735062,12.59810257,-0.605583131,10.8519783,-1.058284998,6.531602383,-5.204302788,-0.846313298,6.037580013,-13.66115856,1.766103983,-10.24756908,1.057355404,-6.931542397,1.242136121,-5.784450054,1.069831371,Hip-Hop_-_Rap
046._Young_Stoner_Life_-_Diamonds_Dancing_(feat._Travis_Scott).mp3,0.531664073,0.175377042,2643.891753,2657.478034,5656.190798,0.0965425,-98.00302124,69.21310425,8.814664841,9.498940468,5.522370815,17.22225761,0.532501817,11.36732578,3.359477043,4.536906242,0.723782122,7.589902878,0.330363899,5.035510063,1.502353549,6.719501972,-1.074127674,5.15541172,-2.002489805,-0.434768826,Hip-Hop_-_Rap
072._Moneybagg_Yo_-_Hard_For_The_Next.mp3,0.413848728,0.160488525,2179.734797,2292.800535,4684.046676,0.087190327,-99.37580872,103.0282288,-1.081436396,15.20750713,9.558594704,6.317666054,-11.00019264,8.039157867,-5.000024796,11.40366745,2.415070772,4.181107998,2.264278173,3.417860746,3.187934875,6.603868484,-4.889471054,4.146263123,-4.420958042,-3.112665892,Hip-Hop_-_Rap
031._Spotemgottem_-_Beat_Box_3.mp3,0.553797007,0.215788658,1780.072936,2288.196909,3840.843442,0.045941521,-103.1465836,106.1800842,14.53815365,30.20781708,18.39195442,7.779764175,0.434355795,6.455775738,-2.611116648,13.1314764,-4.137204647,9.847694397,10.90822697,3.968545198,7.766291618,12.62148857,-3.373589993,11.00038624,1.051359177,7.288983822,Hip-Hop_-_Rap
061._Coi_Leray_-_No_More_Parties_(Remix).mp3,0.349791944,0.069435657,2374.910913,2151.330163,4456.698051,0.111087008,-199.5769348,87.28961945,24.21466446,8.215859413,-13.08736038,0.61787039,-7.749818802,-8.090111732,-7.989346981,-5.006475925,-8.167059898,-6.640974045,-7.508141518,-4.145371914,-9.335007668,-4.767327785,-10.92178917,-4.817894459,-3.415313721,-2.48925209,Hip-Hop_-_Rap
